year,event,driver,team,n_coastdown,n_cla,cla_median,cla_se
2024,Bahrain,1,Red Bull Racing,6,5,3.193,0.184
2024,Bahrain,2,Williams,0,2,2.968,0.069
2024,Bahrain,3,RB,0,4,2.997,0.169
2024,Bahrain,4,McLaren,0,4,3.605,0.306
2024,Bahrain,10,Alpine,0,3,3.055,0.193
2024,Bahrain,11,Red Bull Racing,1,5,2.9,0.118
2024,Bahrain,14,Aston Martin,9,4,3.115,0.339
2024,Bahrain,16,Ferrari,0,6,3.083,0.265
2024,Bahrain,18,Aston Martin,0,4,3.132,0.199
2024,Bahrain,20,Haas F1 Team,1,4,3.439,0.355
2024,Bahrain,22,RB,0,4,3.302,0.066
2024,Bahrain,23,Williams,0,4,3.038,0.131
2024,Bahrain,24,Kick Sauber,0,2,3.998,0.203
2024,Bahrain,27,Haas F1 Team,2,6,2.826,0.181
2024,Bahrain,31,Alpine,0,3,3.391,0.143
2024,Bahrain,44,Mercedes,1,6,3.179,0.184
2024,Bahrain,55,Ferrari,2,6,3.25,0.172
2024,Bahrain,63,Mercedes,4,5,3.297,0.487
2024,Bahrain,77,Kick Sauber,0,2,3.051,0.147
2024,Bahrain,81,McLaren,1,6,3.177,0.184
2024,Saudi Arabia,1,Red Bull Racing,0,6,2.614,0.094
2024,Saudi Arabia,2,Williams,0,3,2.418,0.029
2024,Saudi Arabia,3,RB,4,4,2.794,0.047
2024,Saudi Arabia,4,McLaren,3,7,2.52,0.107
2024,Saudi Arabia,10,Alpine,0,2,2.838,0.12
2024,Saudi Arabia,11,Red Bull Racing,0,6,2.561,0.116
2024,Saudi Arabia,14,Aston Martin,13,5,2.662,0.134
2024,Saudi Arabia,16,Ferrari,0,7,2.595,0.11
2024,Saudi Arabia,18,Aston Martin,3,5,2.688,0.105
2024,Saudi Arabia,20,Haas F1 Team,0,4,2.527,0.091
2024,Saudi Arabia,22,RB,0,6,2.688,0.059
2024,Saudi Arabia,23,Williams,0,4,2.552,0.134
2024,Saudi Arabia,24,Kick Sauber,0,0,,
2024,Saudi Arabia,27,Haas F1 Team,1,3,2.568,0.077
2024,Saudi Arabia,31,Alpine,0,3,2.671,0.2
2024,Saudi Arabia,44,Mercedes,1,8,2.555,0.106
2024,Saudi Arabia,55,Ferrari,0,0,,
2024,Saudi Arabia,63,Mercedes,2,6,2.567,0.079
2024,Saudi Arabia,77,Kick Sauber,0,3,2.758,0.095
2024,Saudi Arabia,81,McLaren,0,8,2.631,0.09
2024,Australian,1,Red Bull Racing,0,7,3.077,0.161
2024,Australian,2,Williams,0,0,,
2024,Australian,3,RB,0,2,3.713,0.428
2024,Australian,4,McLaren,0,6,3.135,0.039
2024,Australian,10,Alpine,0,3,3.094,0.14
2024,Australian,11,Red Bull Racing,0,7,3.155,0.107
